No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
632;20.925.359;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=404672 Win=131072 Len=0;;20,925359;20,927323;0,001964;;0,001949;1,50E-05;-0,001934
633;20.927.323;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=404672 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,927323;20,927338;1,50E-05;;-0,000182;0,000197;0,000379
634;20.927.338;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=406052 Win=131072 Len=0;;20,927338;20,927535;0,000197;;-0,001096;0,001293;0,002389
635;20.927.535;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=406052 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,927535;20,928828;0,001293;;0,001256;3,70E-05;-0,001219
636;20.928.828;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=407432 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,928828;20,928865;3,70E-05;;-0,000872;0,000909;0,001781
637;20.928.865;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=408812 Win=131072 Len=0;;20,928865;20,929774;0,000909;;0,000887;2,20E-05;-0,000865
638;20.929.774;104.118.148.140;192,168,43,84;TLSv1,2;5574;Application Data [TCP segment of a reassembled PDU];;20,929774;20,929796;2,20E-05;;-0,008511;0,008533;0,017044
639;20.929.796;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=414332 Win=131072 Len=0;;20,929796;20,938329;0,008533;;0,007432;0,001101;-0,006331
640;20.938.329;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=414332 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,938329;20,93943;0,001101;;0,001101;0;-0,001101
641;20.939.430;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=415712 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,93943;20,93943;0;;0;0;0
642;20.939.430;184,72,128,137;192,168,43,84;TCP;54;[TCP Keep-Alive ACK] 443  >  56881 [ACK] Seq=1 Ack=2 Win=35880 Len=0;;20,93943;20,93943;0;;-6,50E-05;6,50E-05;0,00013
643;20.939.430;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=418472 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;20,93943;20,939495;6,50E-05;;-0,000691;0,000756;0,001447
644;20.939.495;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=422612 Win=131072 Len=0;;20,939495;20,940251;0,000756;;0,00071;4,60E-05;-0,000664
645;20.940.251;104.118.148.140;192,168,43,84;TCP;5574;443  >  57209 [ACK] Seq=422612 Ack=618 Win=31360 Len=5520 [TCP segment of a reassembled PDU];;20,940251;20,940297;4,60E-05;;-0,000807;0,000853;0,00166
646;20.940.297;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=428132 Win=131072 Len=0;;20,940297;20,94115;0,000853;;0,000826;2,70E-05;-0,000799
647;20.941.150;104.118.148.140;192,168,43,84;TLSv1,2;4194;Application Data [TCP segment of a reassembled PDU];;20,94115;20,941177;2,70E-05;;-0,001993;0,00202;0,004013
648;20.941.177;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=432272 Win=131072 Len=0;;20,941177;20,943197;0,00202;;0,001998;2,20E-05;-0,001976
649;20.943.197;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [PSH, ACK] Seq=432272 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,943197;20,943219;2,20E-05;;-0,000742;0,000764;0,001506
650;20.943.219;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=433652 Win=131072 Len=0;;20,943219;20,943983;0,000764;;0,000744;2,00E-05;-0,000724
651;20.943.983;104.118.148.140;192,168,43,84;TLSv1,2;4194;Application Data [TCP segment of a reassembled PDU];;20,943983;20,944003;2,00E-05;;-0,000546;0,000566;0,001112
652;20.944.003;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=437792 Win=131072 Len=0;;20,944003;20,944569;0,000566;;0,000548;1,80E-05;-0,00053
653;20.944.569;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=437792 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,944569;20,944587;1,80E-05;;-0,009932;0,00995;0,019882
654;20.944.587;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=439172 Win=131072 Len=0;;20,944587;20,954537;0,00995;;0,009869;8,10E-05;-0,009788
655;20.954.537;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=439172 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,954537;20,954618;8,10E-05;;4,20E-05;3,90E-05;-3,00E-06
656;20.954.618;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=440552 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,954618;20,954657;3,90E-05;;-0,002248;0,002287;0,004535
657;20.954.657;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=441932 Win=131072 Len=0;;20,954657;20,956944;0,002287;;0,001336;0,000951;-0,000385
658;20.956.944;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=441932 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,956944;20,957895;0,000951;;0,000897;5,40E-05;-0,000843
659;20.957.895;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=443312 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;20,957895;20,957949;5,40E-05;;-0,000681;0,000735;0,001416
660;20.957.949;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=447452 Win=131072 Len=0;;20,957949;20,958684;0,000735;;-5,60E-05;0,000791;0,000847
661;20.958.684;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=447452 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,958684;20,959475;0,000791;;0,000749;4,20E-05;-0,000707
662;20.959.475;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=448832 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,959475;20,959517;4,20E-05;;-0,002333;0,002375;0,004708
663;20.959.517;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=451592 Win=131072 Len=0;;20,959517;20,961892;0,002375;;0,002313;6,20E-05;-0,002251
664;20.961.892;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=451592 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,961892;20,961954;6,20E-05;;-0,001848;0,00191;0,003758
665;20.961.954;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=452972 Win=131072 Len=0;;20,961954;20,963864;0,00191;;0,00191;0;-0,00191
666;20.963.864;104.118.148.140;192,168,43,84;TLSv1,2;4194;Application Data [TCP segment of a reassembled PDU];;20,963864;20,963864;0;;0;0;0
667;20.963.864;104.118.148.140;192,168,43,84;TCP;1406;443  >  57209 [ACK] Seq=457112 Ack=618 Win=31360 Len=1352 [TCP segment of a reassembled PDU];;20,963864;20,963864;0;;-0,000159;0,000159;0,000318
668;20.963.864;104.118.148.140;192,168,43,84;TLSv1,2;5574;Application Data [TCP segment of a reassembled PDU];;20,963864;20,964023;0,000159;;-0,001466;0,001625;0,003091
669;20.964.023;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=463984 Win=131072 Len=0;;20,964023;20,965648;0,001625;;0,000864;0,000761;-0,000103
670;20.965.648;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=463984 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,965648;20,966409;0,000761;;0,000716;4,50E-05;-0,000671
671;20.966.409;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=465364 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,966409;20,966454;4,50E-05;;-0,001736;0,001781;0,003517
672;20.966.454;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=468124 Win=262144 Len=0;;20,966454;20,968235;0,001781;;0,001737;4,40E-05;-0,001693
673;20.968.235;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=468124 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,968235;20,968279;4,40E-05;;-0,000726;0,00077;0,001496
674;20.968.279;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=469504 Win=262144 Len=0;;20,968279;20,969049;0,00077;;0,000706;6,40E-05;-0,000642
675;20.969.049;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=469504 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,969049;20,969113;6,40E-05;;-0,002114;0,002178;0,004292
676;20.969.113;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=472264 Win=262144 Len=0;;20,969113;20,971291;0,002178;;0,001772;0,000406;-0,001366
677;20.971.291;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=472264 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,971291;20,971697;0,000406;;0,000316;9,00E-05;-0,000226
678;20.971.697;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=473644 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;20,971697;20,971787;9,00E-05;;-0,00173;0,00182;0,00355
679;20.971.787;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=477784 Win=262144 Len=0;;20,971787;20,973607;0,00182;;0,001248;0,000572;-0,000676
680;20.973.607;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;20,973607;20,974179;0,000572;;0,000546;2,60E-05;-0,00052
681;20.974.179;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=479164 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,974179;20,974205;2,60E-05;;-0,00159;0,001616;0,003206
682;20.974.205;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=481924 Win=262144 Len=0;;20,974205;20,975821;0,001616;;0,001595;2,10E-05;-0,001574
683;20.975.821;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=481924 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,975821;20,975842;2,10E-05;;-0,000268;0,000289;0,000557
684;20.975.842;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=483304 Win=262144 Len=0;;20,975842;20,976131;0,000289;;-0,008898;0,009187;0,018085
685;20.976.131;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=483304 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,976131;20,985318;0,009187;;0,009154;3,30E-05;-0,009121
686;20.985.318;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=484684 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,985318;20,985351;3,30E-05;;-0,000638;0,000671;0,001309
687;20.985.351;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=486064 Win=262144 Len=0;;20,985351;20,986022;0,000671;;0,000636;3,50E-05;-0,000601
688;20.986.022;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=486064 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,986022;20,986057;3,50E-05;;-0,000382;0,000417;0,000799
689;20.986.057;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=488824 Win=262144 Len=0;;20,986057;20,986474;0,000417;;0,000394;2,30E-05;-0,000371
690;20.986.474;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=488824 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;20,986474;20,986497;2,30E-05;;-0,002056;0,002079;0,004135
691;20.986.497;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=491584 Win=262144 Len=0;;20,986497;20,988576;0,002079;;0,001278;0,000801;-0,000477
692;20.988.576;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=491584 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,988576;20,989377;0,000801;;0,00076;4,10E-05;-0,000719
693;20.989.377;104.118.148.140;192,168,43,84;TLSv1,2;4194;Application Data [TCP segment of a reassembled PDU];;20,989377;20,989418;4,10E-05;;-0,002269;0,00231;0,004579
694;20.989.418;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=497104 Win=262144 Len=0;;20,989418;20,991728;0,00231;;0,001976;0,000334;-0,001642
695;20.991.728;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=497104 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,991728;20,992062;0,000334;;0,000334;0;-0,000334
696;20.992.062;104.118.148.140;192,168,43,84;TCP;82;443  >  57209 [PSH, ACK] Seq=498484 Ack=618 Win=31360 Len=28 [TCP segment of a reassembled PDU];;20,992062;20,992062;0;;-2,80E-05;2,80E-05;5,60E-05
697;20.992.062;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=498512 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;20,992062;20,99209;2,80E-05;;-0,010399;0,010427;0,020826
698;20.992.090;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=499892 Win=262144 Len=0;;20,99209;21,002517;0,010427;;0,010427;0;-0,010427
699;21.002.517;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=499892 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,002517;21,002517;0;;0;0;0
700;21.002.517;104.118.148.140;192,168,43,84;TLSv1,2;1406;Application Data [TCP segment of a reassembled PDU];;21,002517;21,002517;0;;-4,80E-05;4,80E-05;9,60E-05
701;21.002.517;104.118.148.140;192,168,43,84;TCP;5574;443  >  57209 [ACK] Seq=504004 Ack=618 Win=31360 Len=5520 [TCP segment of a reassembled PDU];;21,002517;21,002565;4,80E-05;;-0,000432;0,00048;0,000912
702;21.002.565;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=509524 Win=262144 Len=0;;21,002565;21,003045;0,00048;;0,000452;2,80E-05;-0,000424
703;21.003.045;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=509524 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,003045;21,003073;2,80E-05;;-0,0004;0,000428;0,000828
704;21.003.073;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=512284 Win=262144 Len=0;;21,003073;21,003501;0,000428;;-0,000214;0,000642;0,000856
705;21.003.501;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=512284 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,003501;21,004143;0,000642;;0,000617;2,50E-05;-0,000592
706;21.004.143;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=513664 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;21,004143;21,004168;2,50E-05;;-0,001134;0,001159;0,002293
707;21.004.168;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=517804 Win=262144 Len=0;;21,004168;21,005327;0,001159;;0,000818;0,000341;-0,000477
708;21.005.327;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;21,005327;21,005668;0,000341;;0,000315;2,60E-05;-0,000289
709;21.005.668;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=519184 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,005668;21,005694;2,60E-05;;-0,001049;0,001075;0,002124
710;21.005.694;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=520564 Win=262144 Len=0;;21,005694;21,006769;0,001075;;0,00037;0,000705;0,000335
711;21.006.769;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=520564 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,006769;21,007474;0,000705;;0,000681;2,40E-05;-0,000657
712;21.007.474;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=521944 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,007474;21,007498;2,40E-05;;-0,000408;0,000432;0,00084
713;21.007.498;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=523324 Win=262144 Len=0;;21,007498;21,00793;0,000432;;-0,001343;0,001775;0,003118
714;21.007.930;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=523324 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,00793;21,009705;0,001775;;0,001748;2,70E-05;-0,001721
715;21.009.705;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=524704 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,009705;21,009732;2,70E-05;;-0,000521;0,000548;0,001069
716;21.009.732;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=526084 Win=262144 Len=0;;21,009732;21,01028;0,000548;;0,000513;3,50E-05;-0,000478
717;21.010.280;104.118.148.140;192,168,43,84;TLSv1,2;2814;Application Data [TCP segment of a reassembled PDU];;21,01028;21,010315;3,50E-05;;-0,001848;0,001883;0,003731
718;21.010.315;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=528844 Win=262144 Len=0;;21,010315;21,012198;0,001883;;0,001316;0,000567;-0,000749
719;21.012.198;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=528844 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,012198;21,012765;0,000567;;0,000534;3,30E-05;-0,000501
720;21.012.765;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=530224 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,012765;21,012798;3,30E-05;;-0,001014;0,001047;0,002061
721;21.012.798;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=532984 Win=524288 Len=0;;21,012798;21,013845;0,001047;;0,001023;2,40E-05;-0,000999
722;21.013.845;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=532984 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,013845;21,013869;2,40E-05;;-0,001844;0,001868;0,003712
723;21.013.869;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=534364 Win=524288 Len=0;;21,013869;21,015737;0,001868;;0,001277;0,000591;-0,000686
724;21.015.737;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=534364 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,015737;21,016328;0,000591;;0,000565;2,60E-05;-0,000539
725;21.016.328;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=535744 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,016328;21,016354;2,60E-05;;-0,008938;0,008964;0,017902
726;21.016.354;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=538504 Win=1051392 Len=0;;21,016354;21,025318;0,008964;;0,008914;5,00E-05;-0,008864
727;21.025.318;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=538504 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,025318;21,025368;5,00E-05;;-0,000616;0,000666;0,001282
728;21.025.368;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=539884 Win=1051392 Len=0;;21,025368;21,026034;0,000666;;0,000636;3,00E-05;-0,000606
729;21.026.034;104.118.148.140;192,168,43,84;TLSv1,2;4194;Application Data [TCP segment of a reassembled PDU];;21,026034;21,026064;3,00E-05;;-0,002115;0,002145;0,00426
730;21.026.064;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=544024 Win=1051392 Len=0;;21,026064;21,028209;0,002145;;0,002101;4,40E-05;-0,002057
731;21.028.209;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=544024 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,028209;21,028253;4,40E-05;;-0,000859;0,000903;0,001762
732;21.028.253;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=545404 Win=1051392 Len=0;;21,028253;21,029156;0,000903;;0,000855;4,80E-05;-0,000807
733;21.029.156;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=545404 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,029156;21,029204;4,80E-05;;-0,001039;0,001087;0,002126
734;21.029.204;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=548164 Win=1051392 Len=0;;21,029204;21,030291;0,001087;;0,001039;4,80E-05;-0,000991
735;21.030.291;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=548164 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;21,030291;21,030339;4,80E-05;;-0,000723;0,000771;0,001494
736;21.030.339;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=552304 Win=1051392 Len=0;;21,030339;21,03111;0,000771;;0,000722;4,90E-05;-0,000673
737;21.031.110;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=552304 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,03111;21,031159;4,90E-05;;-0,003044;0,003093;0,006137
738;21.031.159;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=555064 Win=1051392 Len=0;;21,031159;21,034252;0,003093;;0,00304;5,30E-05;-0,002987
739;21.034.252;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=555064 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,034252;21,034305;5,30E-05;;-0,000876;0,000929;0,001805
740;21.034.305;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=556444 Win=1051392 Len=0;;21,034305;21,035234;0,000929;;0,000862;6,70E-05;-0,000795
741;21.035.234;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=556444 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,035234;21,035301;6,70E-05;;-0,004952;0,005019;0,009971
742;21.035.301;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=559204 Win=1051392 Len=0;;21,035301;21,04032;0,005019;;0,003966;0,001053;-0,002913
743;21.040.320;104.118.148.140;192,168,43,84;TLSv1,2;1434;Application Data [TCP segment of a reassembled PDU];;21,04032;21,041373;0,001053;;0,001031;2,20E-05;-0,001009
744;21.041.373;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=560584 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,041373;21,041395;2,20E-05;;-0,000674;0,000696;0,00137
745;21.041.395;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=561964 Win=1051392 Len=0;;21,041395;21,042091;0,000696;;0,000696;0;-0,000696
746;21.042.091;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=561964 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,042091;21,042091;0;;0;0;0
747;21.042.091;104.118.148.140;192,168,43,84;TCP;82;443  >  57209 [PSH, ACK] Seq=563344 Ack=618 Win=31360 Len=28 [TCP segment of a reassembled PDU];;21,042091;21,042091;0;;-3,70E-05;3,70E-05;7,40E-05
748;21.042.091;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=563372 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,042091;21,042128;3,70E-05;;-0,001625;0,001662;0,003287
749;21.042.128;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=566132 Win=1051392 Len=0;;21,042128;21,04379;0,001662;;0,000901;0,000761;-0,00014
750;21.043.790;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=566132 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,04379;21,044551;0,000761;;0,000734;2,70E-05;-0,000707
751;21.044.551;104.118.148.140;192,168,43,84;TLSv1,2;4194;Application Data [TCP segment of a reassembled PDU];;21,044551;21,044578;2,70E-05;;-0,001741;0,001768;0,003509
752;21.044.578;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=571652 Win=1051392 Len=0;;21,044578;21,046346;0,001768;;0,001095;0,000673;-0,000422
753;21.046.346;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=571652 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,046346;21,047019;0,000673;;0,000649;2,40E-05;-0,000625
754;21.047.019;104.118.148.140;192,168,43,84;TCP;4194;443  >  57209 [ACK] Seq=573032 Ack=618 Win=31360 Len=4140 [TCP segment of a reassembled PDU];;21,047019;21,047043;2,40E-05;;-0,001383;0,001407;0,00279
755;21.047.043;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=577172 Win=1051392 Len=0;;21,047043;21,04845;0,001407;;-0,001282;0,002689;0,003971
756;21.048.450;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=577172 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,04845;21,051139;0,002689;;0,002659;3,00E-05;-0,002629
757;21.051.139;104.118.148.140;192,168,43,84;TCP;1434;443  >  57209 [ACK] Seq=578552 Ack=618 Win=31360 Len=1380 [TCP segment of a reassembled PDU];;21,051139;21,051169;3,00E-05;;-0,000398;0,000428;0,000826
758;21.051.169;192,168,43,84;104.118.148.140;TCP;54;57209  >  443 [ACK] Seq=618 Ack=579932 Win=1051392 Len=0;;21,051169;21,051597;0,000428;;0,000408;2,00E-05;-0,000388
759;21.051.597;104.118.148.140;192,168,43,84;TCP;2814;443  >  57209 [ACK] Seq=579932 Ack=618 Win=31360 Len=2760 [TCP segment of a reassembled PDU];;21,051597;21,051617;2,00E-05;;-0,001753;0,001773;0,003526
