No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
82;7.574.698;104.118.106.235;192,168,43,84;TCP;66;443  >  56889 [ACK] Seq=1 Ack=2 Win=262 Len=0 SLE=1 SRE=2;;7,574698;8,31751;0,742812;;0,680264;0,062548;-0,617716
83;8.317.510;192,168,43,84;104.118.106.235;TCP;55;56890  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU];;8,31751;8,380058;0,062548;;-1,847495;1,910043;3,757538
84;8.380.058;104.118.106.235;192,168,43,84;TCP;66;443  >  56890 [ACK] Seq=1 Ack=2 Win=254 Len=0 SLE=1 SRE=2;;8,380058;10,290101;1,910043;;1,615593;0,29445;-1,321143
87;10.290.101;192,168,43,84;184,72,128,137;TCP;55;[TCP Keep-Alive] 56881  >  443 [ACK] Seq=1 Ack=1 Win=64860 Len=1;;10,290101;10,584551;0,29445;;-0,314521;0,608971;0,923492
88;10.584.551;184,72,128,137;192,168,43,84;TCP;54;[TCP Keep-Alive ACK] 443  >  56881 [ACK] Seq=1 Ack=2 Win=35880 Len=0;;10,584551;11,193522;0,608971;;0,533116;0,075855;-0,457261
89;11.193.522;192,168,43,84;104.118.106.159;TLSv1,2;233;Application Data;;11,193522;11,269377;0,075855;;0,074567;0,001288;-0,073279
90;11.269.377;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=1 Ack=180 Win=262 Len=1380 [TCP segment of a reassembled PDU];;11,269377;11,270665;0,001288;;0,001197;9,10E-05;-0,001106
91;11.270.665;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=1381 Ack=180 Win=262 Len=1380 [TCP segment of a reassembled PDU];;11,270665;11,270756;9,10E-05;;-0,000242;0,000333;0,000575
92;11.270.756;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=180 Ack=2761 Win=512 Len=0;;11,270756;11,271089;0,000333;;0,000333;0;-0,000333
93;11.271.089;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=2761 Ack=180 Win=262 Len=1380 [TCP segment of a reassembled PDU];;11,271089;11,271089;0;;-0,000118;0,000118;0,000236
94;11.271.089;104.118.106.159;192,168,43,84;TLSv1,2;1337;Application Data;;11,271089;11,271207;0,000118;;-0,022214;0,022332;0,044546
95;11.271.207;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=180 Ack=5424 Win=512 Len=0;;11,271207;11,293539;0,022332;;-0,046268;0,0686;0,114868
96;11.293.539;192,168,43,84;104.118.106.159;TLSv1,2;232;Application Data;;11,293539;11,362139;0,0686;;0,052627;0,015973;-0,036654
97;11.362.139;104.118.106.159;192,168,43,84;TLSv1,2;1229;Application Data;;11,362139;11,378112;0,015973;;-0,064433;0,080406;0,144839
98;11.378.112;192,168,43,84;104.118.106.159;TLSv1,2;242;Application Data;;11,378112;11,458518;0,080406;;0,079871;0,000535;-0,079336
99;11.458.518;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=6599 Ack=546 Win=279 Len=1380 [TCP segment of a reassembled PDU];;11,458518;11,459053;0,000535;;0,000511;2,40E-05;-0,000487
100;11.459.053;104.118.106.159;192,168,43,84;TCP;2814;443  >  57193 [ACK] Seq=7979 Ack=546 Win=279 Len=2760 [TCP segment of a reassembled PDU];;11,459053;11,459077;2,40E-05;;-0,00249;0,002514;0,005004
101;11.459.077;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=546 Ack=10739 Win=512 Len=0;;11,459077;11,461591;0,002514;;0,002482;3,20E-05;-0,00245
102;11.461.591;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=10739 Ack=546 Win=279 Len=1380 [TCP segment of a reassembled PDU];;11,461591;11,461623;3,20E-05;;-0,000913;0,000945;0,001858
103;11.461.623;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=546 Ack=12119 Win=512 Len=0;;11,461623;11,462568;0,000945;;0,00092;2,50E-05;-0,000895
104;11.462.568;104.118.106.159;192,168,43,84;TCP;6954;443  >  57193 [ACK] Seq=12119 Ack=546 Win=279 Len=6900 [TCP segment of a reassembled PDU];;11,462568;11,462593;2,50E-05;;-0,000964;0,000989;0,001953
105;11.462.593;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=546 Ack=19019 Win=512 Len=0;;11,462593;11,463582;0,000989;;0,000989;0;-0,000989
106;11.463.582;104.118.106.159;192,168,43,84;TLSv1,2;6954;Application Data [TCP segment of a reassembled PDU];;11,463582;11,463582;0;;-3,70E-05;3,70E-05;7,40E-05
107;11.463.582;104.118.106.159;192,168,43,84;TLSv1,2;70;Application Data;;11,463582;11,463619;3,70E-05;;-0,012196;0,012233;0,024429
108;11.463.619;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=546 Ack=25935 Win=512 Len=0;;11,463619;11,475852;0,012233;;-0,056743;0,068976;0,125719
109;11.475.852;192,168,43,84;104.118.106.159;TLSv1,2;246;Application Data;;11,475852;11,544828;0,068976;;0,068899;7,70E-05;-0,068822
110;11.544.828;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=25935 Ack=738 Win=287 Len=1380 [TCP segment of a reassembled PDU];;11,544828;11,544905;7,70E-05;;3,40E-05;4,30E-05;9,00E-06
111;11.544.905;104.118.106.159;192,168,43,84;TLSv1,2;365;Application Data;;11,544905;11,544948;4,30E-05;;-0,00989;0,009933;0,019823
112;11.544.948;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=738 Ack=27626 Win=512 Len=0;;11,544948;11,554881;0,009933;;-0,063017;0,07295;0,135967
113;11.554.881;192,168,43,84;104.118.106.159;TLSv1,2;235;Application Data;;11,554881;11,627831;0,07295;;0,072028;0,000922;-0,071106
114;11.627.831;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=27626 Ack=919 Win=296 Len=1380 [TCP segment of a reassembled PDU];;11,627831;11,628753;0,000922;;0,000847;7,50E-05;-0,000772
115;11.628.753;104.118.106.159;192,168,43,84;TCP;4194;443  >  57193 [ACK] Seq=29006 Ack=919 Win=296 Len=4140 [TCP segment of a reassembled PDU];;11,628753;11,628828;7,50E-05;;-7,00E-06;8,20E-05;8,90E-05
116;11.628.828;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=919 Ack=33146 Win=512 Len=0;;11,628828;11,62891;8,20E-05;;-0,002321;0,002403;0,004724
117;11.628.910;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=33146 Ack=919 Win=296 Len=1380 [TCP segment of a reassembled PDU];;11,62891;11,631313;0,002403;;0,002329;7,40E-05;-0,002255
118;11.631.313;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=34526 Ack=919 Win=296 Len=1380 [TCP segment of a reassembled PDU];;11,631313;11,631387;7,40E-05;;-0,017396;0,01747;0,034866
119;11.631.387;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=919 Ack=35906 Win=512 Len=0;;11,631387;11,648857;0,01747;;0,016409;0,001061;-0,015348
120;11.648.857;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=35906 Ack=919 Win=296 Len=1380 [TCP segment of a reassembled PDU];;11,648857;11,649918;0,001061;;0,000974;8,70E-05;-0,000887
121;11.649.918;104.118.106.159;192,168,43,84;TLSv1,2;9714;Application Data [TCP segment of a reassembled PDU];;11,649918;11,650005;8,70E-05;;-0,000607;0,000694;0,001301
122;11.650.005;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=919 Ack=46946 Win=512 Len=0;;11,650005;11,650699;0,000694;;0,00062;7,40E-05;-0,000546
123;11.650.699;104.118.106.159;192,168,43,84;TCP;4194;443  >  57193 [ACK] Seq=46946 Ack=919 Win=296 Len=4140 [TCP segment of a reassembled PDU];;11,650699;11,650773;7,40E-05;;-0,002664;0,002738;0,005402
124;11.650.773;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=919 Ack=51086 Win=512 Len=0;;11,650773;11,653511;0,002738;;0,002655;8,30E-05;-0,002572
125;11.653.511;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=51086 Ack=919 Win=296 Len=1380 [TCP segment of a reassembled PDU];;11,653511;11,653594;8,30E-05;;-0,00022;0,000303;0,000523
126;11.653.594;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=919 Ack=52466 Win=512 Len=0;;11,653594;11,653897;0,000303;;0,000303;0;-0,000303
127;11.653.897;104.118.106.159;192,168,43,84;TLSv1,2;2814;Application Data [TCP segment of a reassembled PDU];;11,653897;11,653897;0;;-8,30E-05;8,30E-05;0,000166
128;11.653.897;104.118.106.159;192,168,43,84;TLSv1,2;104;Application Data;;11,653897;11,65398;8,30E-05;;-0,023965;0,024048;0,048013
129;11.653.980;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=919 Ack=55276 Win=512 Len=0;;11,65398;11,678028;0,024048;;-0,040876;0,064924;0,1058
130;11.678.028;192,168,43,84;104.118.106.159;TLSv1,2;226;Application Data;;11,678028;11,742952;0,064924;;0,064404;0,00052;-0,063884
131;11.742.952;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=55276 Ack=1091 Win=304 Len=1380 [TCP segment of a reassembled PDU];;11,742952;11,743472;0,00052;;0,000486;3,40E-05;-0,000452
132;11.743.472;104.118.106.159;192,168,43,84;TCP;2814;443  >  57193 [ACK] Seq=56656 Ack=1091 Win=304 Len=2760 [TCP segment of a reassembled PDU];;11,743472;11,743506;3,40E-05;;-0,001399;0,001433;0,002832
133;11.743.506;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=1091 Ack=59416 Win=512 Len=0;;11,743506;11,744939;0,001433;;0,001388;4,50E-05;-0,001343
134;11.744.939;104.118.106.159;192,168,43,84;TCP;1434;443  >  57193 [ACK] Seq=59416 Ack=1091 Win=304 Len=1380 [TCP segment of a reassembled PDU];;11,744939;11,744984;4,50E-05;;-3,00E-06;4,80E-05;5,10E-05
135;11.744.984;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=1091 Ack=60796 Win=512 Len=0;;11,744984;11,745032;4,80E-05;;-0,040168;0,040216;0,080384
136;11.745.032;104.118.106.159;192,168,43,84;TLSv1,2;305;Application Data;;11,745032;11,785248;0,040216;;-0,513896;0,554112;1,068008
137;11.785.248;192,168,43,84;104.118.106.159;TCP;54;57193  >  443 [ACK] Seq=1091 Ack=61047 Win=511 Len=0;;11,785248;12,33936;0,554112;;0,501928;0,052184;-0,449744
138;12.339.360;192,168,43,84;52,84,229,238;TCP;55;[TCP Keep-Alive] 56886  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1;;12,33936;12,391544;0,052184;;-0,469924;0,522108;0,992032
139;12.391.544;52,84,229,238;192,168,43,84;TCP;66;[TCP Keep-Alive ACK] 443  >  56886 [ACK] Seq=1 Ack=2 Win=123 Len=0 SLE=1 SRE=2;;12,391544;12,913652;0,522108;;0,491443;0,030665;-0,460778
142;12.913.652;192,168,43,84;161,69,38,37;TCP;66;57201  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;12,913652;12,944317;0,030665;;-0,028706;0,059371;0,088077
143;12.944.317;192,168,43,84;104.118.106.235;TCP;55;[TCP Keep-Alive] 56888  >  443 [ACK] Seq=1 Ack=1 Win=507 Len=1;;12,944317;13,003688;0,059371;;-0,105779;0,16515;0,270929
